Date,HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,Home Shots,Away Shots,Home Shots on Target,Away Shots on Target,Home Fouls,Away Fouls,Home Corners,Away Corners,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Full Time Result
14-08-04,Aston Villa,Southampton,2,0,14,6,5,2,14,9,12,6,0,0,0,0,H
14-08-04,Blackburn,West Brom,1,1,12,4,4,2,15,17,4,5,1,0,0,0,D
14-08-04,Bolton,Charlton,4,1,21,9,11,5,10,12,9,5,1,1,0,0,H
14-08-04,Man City,Fulham,1,1,12,4,5,2,14,12,9,4,0,2,0,0,D
14-08-04,Middlesbrough,Newcastle,2,2,15,11,8,4,16,13,6,7,3,1,0,0,D
14-08-04,Norwich,Crystal Palace,1,1,14,14,10,8,14,16,6,11,0,1,0,0,D
14-08-04,Portsmouth,Birmingham,1,1,14,16,8,11,13,16,8,4,2,4,0,0,D
14-08-04,Tottenham,Liverpool,1,1,14,16,7,8,17,11,3,8,3,1,0,0,D
15-08-04,Chelsea,Man United,1,0,8,11,5,3,17,8,2,3,0,0,0,0,H
15-08-04,Everton,Arsenal,1,4,9,18,5,14,14,19,0,7,2,1,0,0,A
21-08-04,Birmingham,Chelsea,0,1,9,7,3,3,10,16,8,2,0,0,0,0,A
21-08-04,Charlton,Portsmouth,2,1,18,10,14,6,9,11,5,6,0,1,0,0,H
21-08-04,Crystal Palace,Everton,1,3,15,14,9,7,6,18,6,6,1,1,0,1,A
21-08-04,Fulham,Bolton,2,0,23,10,12,4,11,13,8,4,0,0,0,0,H
21-08-04,Liverpool,Man City,2,1,15,7,10,4,9,17,8,3,1,3,0,1,H
21-08-04,Man United,Norwich,2,1,17,7,7,2,8,23,11,5,0,1,0,0,H
21-08-04,Newcastle,Tottenham,0,1,13,15,6,8,10,12,13,3,1,2,0,0,A
21-08-04,Southampton,Blackburn,3,2,13,10,7,6,12,18,3,6,0,3,0,0,H
22-08-04,Arsenal,Middlesbrough,5,3,16,9,11,5,8,14,7,5,1,1,0,0,H
22-08-04,West Brom,Aston Villa,1,1,14,9,5,4,12,20,12,4,2,2,0,0,D
24-08-04,Birmingham,Man City,1,0,6,4,2,1,20,13,2,5,1,1,0,0,H
24-08-04,Crystal Palace,Chelsea,0,2,7,16,4,10,9,12,1,6,1,1,0,0,A
25-08-04,Arsenal,Blackburn,3,0,15,3,9,0,11,18,6,5,2,4,0,0,H
25-08-04,Charlton,Aston Villa,3,0,7,9,5,4,6,7,4,12,0,1,0,0,H
25-08-04,Fulham,Middlesbrough,0,2,6,10,2,5,10,8,1,6,0,1,0,0,A
25-08-04,Newcastle,Norwich,2,2,23,13,15,5,17,10,12,6,0,1,0,0,D
25-08-04,Southampton,Bolton,1,2,10,9,6,5,9,8,9,6,1,1,0,0,A
25-08-04,West Brom,Tottenham,1,1,4,12,2,6,13,10,4,5,0,0,0,0,D
28-08-04,Aston Villa,Newcastle,4,2,16,12,13,10,23,11,9,4,3,1,0,0,H
28-08-04,Blackburn,Man United,1,1,8,24,4,15,25,17,4,14,3,1,1,0,D
28-08-04,Chelsea,Southampton,2,1,16,6,7,2,11,12,9,0,0,4,0,0,H
28-08-04,Everton,West Brom,2,1,16,12,10,8,11,16,7,6,0,1,0,0,H
28-08-04,Man City,Charlton,4,0,16,6,10,3,11,8,6,4,0,1,0,0,H
28-08-04,Middlesbrough,Crystal Palace,2,1,24,6,15,2,16,16,4,2,1,2,0,0,H
28-08-04,Norwich,Arsenal,1,4,5,18,5,15,15,5,4,10,1,1,0,0,A
28-08-04,Tottenham,Birmingham,1,0,6,10,3,2,15,5,2,8,4,1,0,0,H
29-08-04,Bolton,Liverpool,1,0,10,7,8,2,15,14,5,2,2,0,0,0,H
30-08-04,Man United,Everton,0,0,14,7,6,2,8,13,8,2,0,2,0,0,D
30-08-04,Portsmouth,Fulham,4,3,21,18,13,10,12,12,6,8,0,2,0,0,H
11-09-04,Aston Villa,Chelsea,0,0,11,18,5,10,9,12,2,9,0,1,0,0,D
11-09-04,Bolton,Man United,2,2,12,12,7,7,22,15,4,7,2,1,0,0,D
11-09-04,Fulham,Arsenal,0,3,9,12,7,7,16,10,9,4,2,2,0,0,A
11-09-04,Liverpool,West Brom,3,0,16,9,9,5,9,11,8,6,0,0,0,0,H
11-09-04,Man City,Everton,0,1,13,6,4,5,14,9,9,6,1,3,0,1,A
11-09-04,Middlesbrough,Birmingham,2,1,14,5,6,3,16,19,6,3,2,3,0,0,H
11-09-04,Newcastle,Blackburn,3,0,7,5,4,1,10,19,8,5,2,1,0,0,H
11-09-04,Portsmouth,Crystal Palace,3,1,16,6,7,3,14,21,8,7,0,2,0,0,H
12-09-04,Tottenham,Norwich,0,0,15,7,7,2,17,9,13,5,2,1,0,0,D
13-09-04,Charlton,Southampton,0,0,8,12,4,7,12,13,9,10,0,1,0,0,D
18-09-04,Arsenal,Bolton,2,2,11,8,6,5,13,17,3,8,1,3,0,0,D
18-09-04,Birmingham,Charlton,1,1,7,2,5,1,12,16,12,3,3,2,1,0,D
18-09-04,Blackburn,Portsmouth,1,0,13,6,3,2,13,15,13,4,0,3,0,0,H
18-09-04,Crystal Palace,Man City,1,2,3,14,1,10,14,15,2,7,2,2,0,0,A
18-09-04,Norwich,Aston Villa,0,0,14,18,3,9,10,13,1,6,1,1,0,0,D
18-09-04,West Brom,Fulham,1,1,8,9,5,3,11,6,11,9,2,5,1,2,D
19-09-04,Chelsea,Tottenham,0,0,20,6,8,3,16,13,9,6,1,2,0,0,D
19-09-04,Everton,Middlesbrough,1,0,11,16,9,11,13,12,6,3,1,4,0,0,H
19-09-04,Southampton,Newcastle,1,2,11,9,6,3,15,11,7,6,0,3,0,0,A
20-09-04,Man United,Liverpool,2,1,14,6,9,3,22,15,7,2,1,2,0,0,H
25-09-04,Aston Villa,Crystal Palace,1,1,10,13,5,8,10,15,5,8,2,1,0,0,D
25-09-04,Bolton,Birmingham,1,1,16,6,12,2,7,18,7,2,2,1,0,0,D
25-09-04,Fulham,Southampton,1,0,11,15,6,5,11,19,5,4,0,1,0,0,H
25-09-04,Liverpool,Norwich,3,0,20,2,12,1,10,12,4,2,1,0,0,0,H
25-09-04,Man City,Arsenal,0,1,11,12,7,9,16,8,8,1,1,0,0,0,A
25-09-04,Middlesbrough,Chelsea,0,1,8,17,4,12,10,15,3,7,0,1,0,0,A
25-09-04,Newcastle,West Brom,3,1,31,7,10,3,15,15,8,3,3,2,0,1,H
25-09-04,Tottenham,Man United,0,1,11,6,5,4,9,10,3,3,1,0,0,0,A
26-09-04,Portsmouth,Everton,0,1,11,9,6,2,12,16,3,6,1,1,0,0,A
27-09-04,Charlton,Blackburn,1,0,6,12,3,7,18,14,6,10,1,1,0,0,H
02-10-04,Arsenal,Charlton,4,0,15,4,9,0,13,15,6,1,3,1,0,0,H
02-10-04,Blackburn,Aston Villa,2,2,13,15,7,9,14,17,5,8,2,2,0,0,D
02-10-04,Everton,Tottenham,0,1,10,8,4,2,9,13,11,2,1,2,0,0,A
02-10-04,Norwich,Portsmouth,2,2,17,13,9,5,13,7,8,2,1,4,0,0,D
02-10-04,Southampton,Man City,0,0,16,21,11,11,13,11,6,14,0,0,0,0,D
02-10-04,West Brom,Bolton,2,1,13,16,7,7,18,15,6,5,0,0,0,0,H
03-10-04,Birmingham,Newcastle,2,2,10,6,6,3,17,14,6,5,3,2,0,0,D
03-10-04,Chelsea,Liverpool,1,0,13,5,5,3,14,20,11,2,0,1,0,0,H
03-10-04,Man United,Middlesbrough,1,1,22,13,10,9,8,13,10,2,1,3,0,0,D
04-10-04,Crystal Palace,Fulham,2,0,20,8,10,5,10,10,10,3,1,1,0,1,H
16-10-04,Arsenal,Aston Villa,3,1,18,5,15,2,11,22,6,3,2,4,0,0,H
16-10-04,Birmingham,Man United,0,0,14,12,6,7,16,11,3,3,1,0,0,0,D
16-10-04,Blackburn,Middlesbrough,0,4,12,16,5,10,12,14,2,10,2,1,1,0,A
16-10-04,Bolton,Crystal Palace,1,0,21,7,7,2,19,14,7,3,1,1,0,0,H
16-10-04,Everton,Southampton,1,0,14,8,5,4,5,14,5,6,0,0,0,0,H
16-10-04,Fulham,Liverpool,2,4,5,10,3,3,12,14,3,6,1,3,0,1,A
16-10-04,Man City,Chelsea,1,0,4,9,1,3,6,7,0,12,1,2,0,0,H
16-10-04,West Brom,Norwich,0,0,9,12,2,5,13,21,2,3,2,2,0,0,D
17-10-04,Charlton,Newcastle,1,1,11,15,6,8,15,7,8,9,1,1,0,0,D
18-10-04,Portsmouth,Tottenham,1,0,11,16,6,7,12,11,3,5,0,0,0,0,H
23-10-04,Aston Villa,Fulham,2,0,11,7,5,1,21,14,8,4,0,1,0,0,H
23-10-04,Chelsea,Blackburn,4,0,17,7,13,4,11,11,12,3,1,2,0,0,H
23-10-04,Crystal Palace,West Brom,3,0,11,11,4,6,11,15,7,10,1,3,0,0,H
23-10-04,Liverpool,Charlton,2,0,17,3,7,1,9,11,12,0,0,1,0,0,H
23-10-04,Norwich,Everton,2,3,22,13,10,9,8,11,11,4,0,2,0,0,A
23-10-04,Tottenham,Bolton,1,2,8,6,5,4,14,17,2,3,0,0,0,0,A
24-10-04,Man United,Arsenal,2,0,11,12,5,6,20,23,3,3,2,3,0,0,H
24-10-04,Middlesbrough,Portsmouth,1,1,26,3,11,1,5,5,9,0,0,2,0,0,D
24-10-04,Newcastle,Man City,4,3,16,11,11,6,13,14,7,5,2,3,0,0,H
24-10-04,Southampton,Birmingham,0,0,6,8,1,2,11,11,4,4,0,1,0,0,D
30-10-04,Arsenal,Southampton,2,2,14,7,9,4,8,21,7,7,1,4,0,0,D
30-10-04,Birmingham,Crystal Palace,0,1,16,4,11,1,8,14,11,3,1,1,0,0,A
30-10-04,Blackburn,Liverpool,2,2,8,13,7,9,14,11,6,6,2,1,0,0,D
30-10-04,Charlton,Middlesbrough,1,2,8,11,7,7,14,8,3,4,3,0,0,0,A
30-10-04,Everton,Aston Villa,1,1,20,9,8,5,10,19,8,3,1,1,0,0,D
30-10-04,Fulham,Tottenham,2,0,8,5,4,1,11,9,5,4,0,1,0,0,H
30-10-04,Portsmouth,Man United,2,0,11,20,7,9,19,9,3,9,0,2,0,0,H
30-10-04,West Brom,Chelsea,1,4,12,19,9,9,12,8,2,6,1,0,0,0,A
31-10-04,Bolton,Newcastle,2,1,17,5,11,4,14,11,4,5,1,1,0,0,H
01-11-04,Man City,Norwich,1,1,19,10,11,5,10,13,9,4,1,0,0,0,D
06-11-04,Aston Villa,Portsmouth,3,0,10,7,9,2,8,13,6,4,1,1,0,0,H
06-11-04,Chelsea,Everton,1,0,12,3,3,1,10,15,16,3,1,3,0,0,H
06-11-04,Crystal Palace,Arsenal,1,1,3,19,1,13,10,8,1,8,0,1,0,0,D
06-11-04,Liverpool,Birmingham,0,1,17,6,8,1,19,17,4,5,3,1,0,0,A
06-11-04,Norwich,Blackburn,1,1,12,15,5,9,18,12,7,4,1,0,0,1,D
06-11-04,Southampton,West Brom,2,2,11,10,6,5,13,14,5,1,2,0,0,0,D
06-11-04,Tottenham,Charlton,2,3,19,3,11,3,6,13,5,1,0,2,0,1,A
07-11-04,Man United,Man City,0,0,15,3,10,1,10,10,16,1,2,2,1,0,D
07-11-04,Middlesbrough,Bolton,1,1,14,7,5,4,13,12,3,3,1,3,0,1,D
07-11-04,Newcastle,Fulham,1,4,26,11,20,7,12,16,19,0,1,1,0,0,A
13-11-04,Birmingham,Everton,0,1,15,9,4,8,13,12,5,3,0,1,1,0,A
13-11-04,Bolton,Aston Villa,1,2,15,10,7,5,10,17,9,5,1,1,0,0,A
13-11-04,Charlton,Norwich,4,0,16,8,11,4,14,11,1,5,0,3,0,0,H
13-11-04,Fulham,Chelsea,1,4,7,16,2,11,13,13,1,5,0,2,0,0,A
13-11-04,Liverpool,Crystal Palace,3,2,18,4,5,4,13,17,7,1,1,3,0,0,H
13-11-04,Man City,Blackburn,1,1,8,11,7,2,19,13,3,5,1,3,1,0,D
13-11-04,Southampton,Portsmouth,2,1,11,13,5,6,14,15,4,8,1,3,0,0,H
13-11-04,Tottenham,Arsenal,4,5,10,10,7,6,20,9,3,4,3,0,0,0,A
14-11-04,Newcastle,Man United,1,3,13,12,7,7,11,16,2,7,2,0,0,0,A
14-11-04,West Brom,Middlesbrough,1,2,16,11,6,7,14,14,7,10,0,0,0,0,A
20-11-04,Arsenal,West Brom,1,1,11,4,4,2,9,12,12,3,0,1,0,0,D
20-11-04,Chelsea,Bolton,2,2,17,10,11,5,18,11,9,2,1,0,0,0,D
20-11-04,Crystal Palace,Newcastle,0,2,7,17,5,9,13,10,3,5,1,3,0,0,A
20-11-04,Everton,Fulham,1,0,13,6,7,4,11,24,12,7,0,1,0,0,H
20-11-04,Man United,Charlton,2,0,20,5,11,2,8,13,6,3,0,0,0,0,H
20-11-04,Middlesbrough,Liverpool,2,0,14,17,6,10,14,10,3,5,3,2,0,0,H
20-11-04,Norwich,Southampton,2,1,9,14,8,7,19,14,4,6,1,1,0,0,H
20-11-04,Portsmouth,Man City,1,3,9,18,7,13,8,14,8,11,3,0,0,0,A
21-11-04,Blackburn,Birmingham,3,3,15,8,10,5,12,9,6,9,1,1,0,0,D
22-11-04,Aston Villa,Tottenham,1,0,9,11,5,6,17,11,5,5,0,0,0,0,H
27-11-04,Birmingham,Norwich,1,1,16,7,10,3,14,12,6,1,2,1,0,0,D
27-11-04,Bolton,Portsmouth,0,1,19,8,10,4,13,14,7,6,0,1,0,0,A
27-11-04,Charlton,Chelsea,0,4,8,16,4,12,13,11,7,10,0,1,0,0,A
27-11-04,Fulham,Blackburn,0,2,12,17,6,4,9,13,6,6,2,1,1,0,A
27-11-04,Man City,Aston Villa,2,0,11,7,6,3,14,19,8,8,1,1,0,1,H
27-11-04,Southampton,Crystal Palace,2,2,15,11,8,8,7,11,4,8,0,3,0,0,D
27-11-04,West Brom,Man United,0,3,3,18,2,9,13,11,1,8,0,0,0,0,A
28-11-04,Liverpool,Arsenal,2,1,11,3,7,2,6,16,6,0,0,2,0,0,H
28-11-04,Newcastle,Everton,1,1,19,7,9,3,14,19,8,4,1,3,0,0,D
28-11-04,Tottenham,Middlesbrough,2,0,14,8,9,3,11,13,5,7,1,2,0,1,H
04-12-04,Arsenal,Birmingham,3,0,7,2,4,1,7,15,4,2,0,1,0,0,H
04-12-04,Aston Villa,Liverpool,1,1,3,12,2,7,10,10,3,9,1,0,0,0,D
04-12-04,Blackburn,Tottenham,0,1,12,10,7,8,11,11,7,5,3,1,0,0,A
04-12-04,Chelsea,Newcastle,4,0,14,9,9,5,12,15,3,2,1,2,0,0,H
04-12-04,Everton,Bolton,3,2,12,10,3,6,14,18,4,4,0,3,0,0,H
04-12-04,Man United,Southampton,3,0,34,4,14,0,5,10,16,2,0,1,0,0,H
04-12-04,Norwich,Fulham,0,1,10,15,4,9,22,22,5,4,1,3,0,0,A
04-12-04,Portsmouth,West Brom,3,2,14,10,10,4,14,14,8,3,0,2,0,0,H
05-12-04,Crystal Palace,Charlton,0,1,5,11,3,7,16,14,5,3,2,3,0,0,A
06-12-04,Middlesbrough,Man City,3,2,11,9,7,6,14,18,6,4,0,3,0,0,H
11-12-04,Crystal Palace,Blackburn,0,0,8,16,1,8,19,20,2,1,3,3,0,1,D
11-12-04,Everton,Liverpool,1,0,6,16,2,5,12,14,2,7,2,3,0,0,H
11-12-04,Man City,Tottenham,0,1,8,5,3,2,8,9,6,2,1,2,0,0,A
11-12-04,Newcastle,Portsmouth,1,1,15,6,2,3,12,15,6,2,1,2,0,0,D
11-12-04,Norwich,Bolton,3,2,9,4,4,3,10,26,4,4,1,3,0,0,H
11-12-04,Southampton,Middlesbrough,2,2,16,15,5,7,11,12,4,6,1,1,0,0,D
11-12-04,West Brom,Charlton,0,1,7,8,4,2,16,13,6,6,0,0,0,0,A
12-12-04,Arsenal,Chelsea,2,2,10,10,5,5,11,17,4,6,1,3,0,0,D
12-12-04,Aston Villa,Birmingham,1,2,9,9,3,5,9,28,6,0,2,4,0,0,A
13-12-04,Fulham,Man United,1,1,7,14,3,6,15,11,6,7,2,1,0,0,D
14-12-04,Liverpool,Portsmouth,1,1,12,7,7,4,6,9,6,4,0,0,0,0,D
18-12-04,Birmingham,West Brom,4,0,7,11,5,9,14,20,2,2,0,4,0,0,H
18-12-04,Blackburn,Everton,0,0,13,5,9,2,25,21,7,3,1,2,0,0,D
18-12-04,Bolton,Man City,0,1,14,6,6,2,17,12,8,1,0,0,0,0,A
18-12-04,Chelsea,Norwich,4,0,12,1,8,0,12,11,7,3,0,0,0,0,H
18-12-04,Man United,Crystal Palace,5,2,19,4,14,3,12,8,15,3,0,1,0,0,H
18-12-04,Middlesbrough,Aston Villa,3,0,9,14,8,6,6,18,5,6,0,1,0,0,H
18-12-04,Tottenham,Southampton,5,1,18,7,12,4,9,13,6,3,0,2,0,0,H
19-12-04,Liverpool,Newcastle,3,1,15,7,5,3,12,19,5,5,0,3,0,1,H
19-12-04,Portsmouth,Arsenal,0,1,11,13,5,5,13,9,5,7,0,1,0,0,A
20-12-04,Charlton,Fulham,2,1,8,6,5,4,14,16,5,3,1,2,0,0,H
26-12-04,Arsenal,Fulham,2,0,11,2,8,1,12,9,7,6,1,2,0,0,H
26-12-04,Birmingham,Middlesbrough,2,0,11,9,10,6,17,9,5,3,1,0,0,0,H
26-12-04,Blackburn,Newcastle,2,2,21,5,11,3,18,19,7,5,1,2,0,0,D
26-12-04,Chelsea,Aston Villa,1,0,14,9,7,7,12,13,6,3,3,3,0,0,H
26-12-04,Crystal Palace,Portsmouth,0,1,18,11,10,6,10,14,9,7,0,2,0,0,A
26-12-04,Everton,Man City,2,1,9,10,6,6,14,21,4,4,1,2,0,1,H
26-12-04,Man United,Bolton,2,0,14,8,7,1,12,14,9,0,0,0,0,0,H
